model,chemical_class,complexity,max_indent,log_lines_of_code,methods_called_count,returns_count,smarts_strings_count
ensemble-9,gas molecular entity,1.6182084906716632,2.0,3.091042453358316,0.0,2.0,0.0
ensemble-9,hexose,2.178074351579233,3.0,2.8903717578961645,1.0,3.0,0.0
ensemble-9,organofluorine compound,2.388887795833288,2.0,2.9444389791664403,3.0,3.0,1.0
ensemble-9,4'-hydroxyflavanones,2.388887795833288,2.0,2.9444389791664403,3.0,3.0,1.0
ensemble-9,beta-lactam antibiotic,2.399146454710798,2.0,2.995732273553991,3.0,3.0,1.0
ensemble-9,epoxide,2.399146454710798,2.0,2.995732273553991,3.0,3.0,1.0
ensemble-9,enone,2.4089044875446843,2.0,3.044522437723423,3.0,3.0,1.0
ensemble-9,aldoxime,2.4089044875446843,2.0,3.044522437723423,3.0,3.0,1.0
ensemble-9,diketone,2.42709884318583,2.0,3.1354942159291497,3.0,3.0,1.0
ensemble-9,diol,2.435610766069589,2.0,3.1780538303479458,3.0,3.0,1.0
ensemble-9,anilide,2.44377516497364,2.0,3.2188758248682006,3.0,3.0,1.0
ensemble-9,secondary alpha-hydroxy ketone,2.4516193076042962,2.0,3.258096538021482,3.0,3.0,1.0
ensemble-9,tetrapeptide,2.4591673732008656,2.0,3.295836866004329,3.0,3.0,2.0
ensemble-9,tetrahydrofuranone,2.466440902035041,3.0,3.332204510175204,3.0,2.0,0.0
ensemble-9,quinone,2.4867974408970293,3.0,3.4339872044851463,2.0,3.0,0.0
ensemble-9,polypeptide,2.499301512293296,2.0,3.4965075614664802,3.0,3.0,3.0
ensemble-9,monounsaturated fatty acyl-CoA,2.6089044875446845,2.0,3.044522437723423,4.0,3.0,1.0
ensemble-9,amino sugar,2.6270988431858298,2.0,3.1354942159291497,3.0,4.0,2.0
ensemble-9,butyrate ester,2.6270988431858298,2.0,3.1354942159291497,3.0,4.0,1.0
ensemble-9,butenolide,2.6270988431858298,2.0,3.1354942159291497,3.0,4.0,2.0
ensemble-9,3alpha-hydroxy steroid,2.6270988431858298,2.0,3.1354942159291497,3.0,4.0,2.0
ensemble-9,primary alcohol,2.635610766069589,2.0,3.1780538303479458,3.0,4.0,2.0
ensemble-9,glycosphingolipid,2.635610766069589,2.0,3.1780538303479458,3.0,4.0,2.0
ensemble-9,D-glucoside,2.635610766069589,2.0,3.1780538303479458,3.0,4.0,2.0
ensemble-9,carbamate ester,2.6437751649736403,2.0,3.2188758248682006,3.0,4.0,2.0
ensemble-9,beta-D-galactoside,2.659167373200866,2.0,3.295836866004329,4.0,3.0,1.0
ensemble-9,alpha-amino acid ester,2.666440902035041,2.0,3.332204510175204,3.0,4.0,1.0
ensemble-9,gamma-lactone,2.666440902035041,3.0,3.332204510175204,3.0,3.0,5.0
ensemble-9,sulfonamide,2.6931471805599454,2.0,3.4657359027997265,3.0,4.0,1.0
ensemble-9,flavonols,2.716703787691222,2.0,3.58351893845611,3.0,4.0,1.0
ensemble-9,glycerophosphocholine,2.7940583827104244,3.0,3.970291913552122,3.0,3.0,1.0
ensemble-9,dodecanoate ester,2.8014666370464942,2.0,4.007333185232471,3.0,4.0,1.0
ensemble-9,quaternary ammonium ion,2.82709884318583,3.0,3.1354942159291497,3.0,4.0,2.0
ensemble-9,flavones,2.835610766069589,2.0,3.1780538303479458,4.0,4.0,1.0
ensemble-9,aralkylamine,2.84377516497364,2.0,3.2188758248682006,3.0,5.0,3.0
ensemble-9,N-acylphytosphingosine,2.851619307604296,2.0,3.258096538021482,3.0,5.0,3.0
ensemble-9,"11,12-saturated fatty acyl-CoA(4-)",2.851619307604296,2.0,3.258096538021482,3.0,5.0,3.0
ensemble-9,alpha-amino-acid zwitterion,2.851619307604296,2.0,3.258096538021482,4.0,4.0,1.0
ensemble-9,glucosylceramide,2.8664409020350408,2.0,3.332204510175204,3.0,5.0,3.0
ensemble-9,amino acid,2.873459165997295,3.0,3.367295829986474,3.0,4.0,3.0
ensemble-9,acetate ester,2.873459165997295,2.0,3.367295829986474,3.0,5.0,1.0
ensemble-9,phenylpropanoid,2.9052721049232324,2.0,3.5263605246161616,3.0,5.0,5.0
ensemble-9,tannin,2.9167037876912216,2.0,3.58351893845611,3.0,5.0,7.0
ensemble-9,flavonoid,2.9167037876912216,2.0,3.58351893845611,3.0,5.0,3.0
ensemble-9,monoterpenoid,2.9327123292259296,2.0,3.6635616461296463,5.0,3.0,11.0
ensemble-9,flavanones,2.961332497954064,2.0,3.8066624897703196,4.0,4.0,1.0
ensemble-9,N-acylglycine,2.970029520342012,2.0,3.8501476017100584,3.0,5.0,2.0
ensemble-9,sphingoid,3.0182084906716633,2.0,3.091042453358316,6.0,3.0,0.0
ensemble-9,ether lipid,3.086797440897029,2.0,3.4339872044851463,4.0,5.0,4.0
ensemble-9,phosphatidylcholine,3.0931471805599453,2.0,3.4657359027997265,4.0,5.0,3.0
