model,chemical_class,complexity,max_indent,log_lines_of_code,methods_called_count,returns_count,smarts_strings_count
ensemble-9,omega-hydroxy fatty acid,10.411249161069662,5.0,5.056245805348308,21.0,18.0,1.0
ensemble-9,long-chain fatty alcohol,9.819973285564839,7.0,5.099866427824199,20.0,13.0,1.0
ensemble-9,penicillin,9.368837417291719,8.0,4.844187086458591,20.0,12.0,2.0
ensemble-9,oxo fatty acid,9.016280872996893,5.0,5.081404364984463,15.0,17.0,3.0
ensemble-9,fatty aldehyde,8.955824698622305,6.0,4.77912349311153,18.0,13.0,2.0
ensemble-9,flavonoids,8.578069825644352,7.0,4.890349128221754,22.0,8.0,2.0
ensemble-9,saturated fatty acid,8.141906040262466,6.0,4.709530201312334,17.0,12.0,1.0
ensemble-9,wax,8.106519898630651,5.0,4.532599493153256,19.0,10.0,6.0
ensemble-9,lipopeptide,8.037930948405286,7.0,4.189654742026425,19.0,8.0,2.0
ensemble-9,3-sn-phosphatidyl-L-serine,7.962436871074483,6.0,4.812184355372417,17.0,9.0,1.0
ensemble-9,3beta-hydroxy-Delta(5)-steroid,7.940096073158483,6.0,4.700480365792417,20.0,8.0,0.0
ensemble-9,epoxy fatty acid,7.924994562656854,5.0,4.624972813284271,13.0,13.0,2.0
ensemble-9,hydroxy fatty acid,7.881343849452851,5.0,4.406719247264253,18.0,10.0,2.0
ensemble-9,monosaccharide,7.770406052783923,4.0,4.852030263919617,13.0,16.0,3.0
ensemble-9,branched-chain fatty acid,7.750718038221272,5.0,4.7535901911063645,14.0,12.0,1.0
ensemble-9,carotenoid,7.741906040262466,7.0,4.709530201312334,17.0,8.0,0.0
ensemble-9,triterpenoid saponin,7.724994562656855,5.0,4.624972813284271,17.0,11.0,0.0
ensemble-9,sphingomyelin d18:1,7.724994562656855,4.0,4.624972813284271,14.0,15.0,2.0
ensemble-9,aliphatic alcohol,7.704357715409808,5.0,4.5217885770490405,16.0,10.0,2.0
ensemble-9,unsaturated fatty acid,7.7021719013033705,6.0,4.51085950651685,20.0,7.0,1.0
ensemble-9,sterol,7.581054955687685,7.0,4.90527477843843,20.0,5.0,0.0
ensemble-9,saccharolipid,7.564056313121007,11.0,4.820281565605037,15.0,5.0,0.0
ensemble-9,tetrasaccharide,7.550718038221272,5.0,4.7535901911063645,15.0,10.0,0.0
ensemble-9,cyclic fatty acid,7.519023970026917,5.0,4.59511985013459,16.0,10.0,1.0
ensemble-9,ribonucleoside,7.4977272739464285,7.0,4.48863636973214,14.0,10.0,2.0
ensemble-9,steroid sulfate,7.399442454752823,6.0,4.997212273764115,18.0,7.0,0.0
ensemble-9,oligosaccharide,7.396721324341667,8.0,4.983606621708336,18.0,5.0,0.0
ensemble-9,17beta-hydroxy steroid,7.381054955687685,6.0,4.90527477843843,17.0,8.0,0.0
ensemble-9,catechols,7.379567959990183,5.0,4.897839799950911,11.0,10.0,0.0
ensemble-9,2-hydroxy fatty acid,7.326945797645928,4.0,4.634728988229636,15.0,12.0,2.0
ensemble-9,aldose,7.273889570493404,3.0,4.3694478524670215,12.0,16.0,7.0
ensemble-9,ganglioside,7.066146668057266,6.0,4.330733340286331,17.0,7.0,3.0
ensemble-9,olefinic fatty acid,7.049699048409872,4.0,4.248495242049359,12.0,14.0,7.0
ensemble-9,thiosugar,6.954136924893133,6.0,4.770684624465665,15.0,7.0,0.0
ensemble-9,short-chain fatty acid,6.9190239700269185,5.0,4.59511985013459,11.0,12.0,1.0
ensemble-9,anthocyanidin cation,6.910775378320108,6.0,4.553876891600541,14.0,8.0,0.0
ensemble-9,N-acyl-L-alpha-amino acid,6.906519898630651,5.0,4.532599493153256,12.0,9.0,1.0
ensemble-9,monocarboxylic acid anion,6.899961934066053,3.0,4.499809670330265,12.0,14.0,1.0
ensemble-9,3-oxo-5alpha-steroid,6.796721324341666,5.0,4.983606621708336,16.0,7.0,1.0
ensemble-9,branched-chain fatty acyl-CoA,6.740096073158483,5.0,4.700480365792417,12.0,9.0,2.0
ensemble-9,trienoic fatty acid,6.736426245424843,4.0,4.68213122712422,12.0,12.0,1.0
ensemble-9,D-hexose,6.726945797645928,5.0,4.634728988229636,14.0,9.0,0.0
ensemble-9,3-oxo steroid,6.719023970026919,7.0,4.59511985013459,14.0,7.0,0.0
ensemble-9,wax ester,6.699961934066053,5.0,4.499809670330265,13.0,8.0,2.0
ensemble-9,alkaloid,6.681343849452849,4.0,4.406719247264253,14.0,10.0,12.0
ensemble-9,medium-chain fatty acyl-CoA,6.673889570493404,4.0,4.3694478524670215,15.0,9.0,2.0
ensemble-9,glycolipid,6.660813018640835,3.0,4.30406509320417,12.0,13.0,3.0
ensemble-9,diglyceride,6.6409385238781935,4.0,4.204692619390966,13.0,11.0,2.0
ensemble-9,steroid saponin,6.607390520482726,8.0,5.0369526024136295,14.0,4.0,0.0
ensemble-9,phosphatidic acid,6.593962659915201,5.0,4.969813299576001,15.0,7.0,1.0
