chemical_class,left_method,right_method,f1_left,f1_right,difference
pyrroline,ensemble-9,chebifier,0.24000000000000002,0.07407407407407407,0.16592592592592595
alpha-hydroxy ketone,ensemble-9,chebifier,0.19919517102615691,0.5612903225806452,-0.36209515155448824
sesquiterpenoid,ensemble-9,chebifier,0.45588235294117646,0.4709976798143851,-0.015115326873208657
limonoid,ensemble-9,chebifier,0.7000000000000001,0.3333333333333333,0.36666666666666675
4'-hydroxyflavanones,ensemble-9,chebifier,0.40579710144927544,0.5671641791044776,-0.16136707765520214
amino acid,ensemble-9,chebifier,0.45614035087719296,0.7658862876254182,-0.30974593674822526
epoxide,ensemble-9,chebifier,0.40045766590389015,0.5161290322580645,-0.11567136635417435
primary alcohol,ensemble-9,chebifier,0.23192771084337352,0.39299610894941633,-0.16106839810604281
aldehyde,ensemble-9,chebifier,0.521875,0.558252427184466,-0.036377427184466016
cation,ensemble-9,chebifier,0.7382456140350876,0.8882720333102011,-0.1500264192751135
epoxy fatty acid,ensemble-9,chebifier,0.7777777777777777,0.8399999999999999,-0.06222222222222218
flavonoid,ensemble-9,chebifier,0.3795918367346939,0.6120331950207468,-0.23244135828605295
polyphenol,ensemble-9,chebifier,0.14253135689851767,0.3849206349206349,-0.2423892780221172
icosanoid,ensemble-9,chebifier,0.04283246977547496,0.5726681127982646,-0.5298356430227896
aldoxime,ensemble-9,chebifier,0.8387096774193549,0.6086956521739131,0.2300140252454418
3-hydroxy fatty acyl-CoA,ensemble-9,chebifier,0.4210526315789473,0.41666666666666663,0.00438596491228066
chalcones,ensemble-9,chebifier,0.7419354838709677,0.5985401459854015,0.14339533788556624
diradylglycerol,ensemble-9,chebifier,0.8630490956072352,0.8684863523573202,-0.0054372567500849955
D-hexose,ensemble-9,chebifier,0.47058823529411764,0.41860465116279066,0.051983584131326976
monoterpenoid,ensemble-9,chebifier,0.31675874769797424,0.39158576051779936,-0.07482701281982512
beta-D-glucosiduronic acid,ensemble-9,chebifier,0.11764705882352941,0.36585365853658536,-0.24820659971305595
triterpenoid,ensemble-9,chebifier,0.4231851435002813,0.7131221719457014,-0.2899370284454201
steroid,ensemble-9,chebifier,0.7058823529411764,0.795316565481353,-0.08943421254017658
alpha-amino acid ester,ensemble-9,chebifier,0.3968253968253968,0.4186046511627907,-0.021779254337393916
polychlorinated dibenzodioxines and related compounds,ensemble-9,chebifier,0.8799999999999999,0.8461538461538461,0.03384615384615375
lipopeptide,ensemble-9,chebifier,0.07547169811320754,0.40740740740740744,-0.3319357092941999
short-chain fatty acid,ensemble-9,chebifier,0.64,0.46153846153846156,0.17846153846153845
alkaloid,ensemble-9,chebifier,0.19413092550790068,0.6267029972752043,-0.4325720717673036
methyl sulfide,ensemble-9,chebifier,0.21138211382113822,0.4242424242424242,-0.21286031042128598
