chemical_class,left_method,right_method,f1_left,f1_right,difference
1-monoglyceride,ensemble-9,chebifier,0.9090909090909091,0.37837837837837834,0.5307125307125307
3-oxo-fatty acyl-CoA(4-),ensemble-9,chebifier,0.7499999999999999,0.27586206896551724,0.47413793103448265
metal atom,ensemble-9,chebifier,0.9850746268656716,0.5636363636363637,0.4214382632293079
macrolide,ensemble-9,chebifier,0.782608695652174,0.3788546255506608,0.40375407010151315
trichlorobenzene,ensemble-9,chebifier,0.8750000000000001,0.48484848484848486,0.39015151515151525
limonoid,ensemble-9,chebifier,0.7000000000000001,0.3333333333333333,0.36666666666666675
2-oxo monocarboxylic acid anion,ensemble-9,chebifier,0.8333333333333333,0.5172413793103449,0.3160919540229884
2-hydroxy fatty acid,ensemble-9,chebifier,0.7826086956521738,0.4848484848484849,0.2977602108036889
aldoxime,ensemble-9,chebifier,0.8387096774193549,0.6086956521739131,0.2300140252454418
trienoic fatty acid,ensemble-9,chebifier,0.6341463414634146,0.4155844155844156,0.21856192587899903
1-monoglyceride,ensemble-9,chebifier,0.9090909090909091,0.37837837837837834,0.5307125307125307
3-oxo-fatty acyl-CoA(4-),ensemble-9,chebifier,0.7499999999999999,0.27586206896551724,0.47413793103448265
metal atom,ensemble-9,chebifier,0.9850746268656716,0.5636363636363637,0.4214382632293079
macrolide,ensemble-9,chebifier,0.782608695652174,0.3788546255506608,0.40375407010151315
trichlorobenzene,ensemble-9,chebifier,0.8750000000000001,0.48484848484848486,0.39015151515151525
limonoid,ensemble-9,chebifier,0.7000000000000001,0.3333333333333333,0.36666666666666675
2-oxo monocarboxylic acid anion,ensemble-9,chebifier,0.8333333333333333,0.5172413793103449,0.3160919540229884
2-hydroxy fatty acid,ensemble-9,chebifier,0.7826086956521738,0.4848484848484849,0.2977602108036889
aldoxime,ensemble-9,chebifier,0.8387096774193549,0.6086956521739131,0.2300140252454418
trienoic fatty acid,ensemble-9,chebifier,0.6341463414634146,0.4155844155844156,0.21856192587899903
