,train_rank,train_rank,train_rank,train_rank,train_rank
,mean,std,min,max,range
chemical_class,,,,,
"1,2-diacyl-sn-glycero-3-phosphocholine",6.0,,6.0,6.0,0.0
1-monoglyceride,23.0,,23.0,23.0,0.0
1-phosphatidyl-1D-myo-inositol,207.0,,207.0,207.0,0.0
"11,12-saturated fatty acyl-CoA(4-)",144.0,,144.0,144.0,0.0
11beta-hydroxy steroid,237.0,,237.0,237.0,0.0
17alpha-hydroxy steroid,174.0,,174.0,174.0,0.0
17beta-hydroxy steroid,216.0,,216.0,216.0,0.0
2-acyl-1-alkyl-sn-glycero-3-phosphocholine,91.0,,91.0,91.0,0.0
2-hydroxy fatty acid,38.0,,38.0,38.0,0.0
2-oxo monocarboxylic acid,82.0,,82.0,82.0,0.0
2-oxo monocarboxylic acid anion,51.0,,51.0,51.0,0.0
3-hydroxy fatty acyl-CoA,139.0,,139.0,139.0,0.0
3-hydroxy fatty acyl-CoA(4-),54.0,,54.0,54.0,0.0
3-oxo steroid,171.0,,171.0,171.0,0.0
3-oxo-5alpha-steroid,234.0,,234.0,234.0,0.0
3-oxo-Delta(1) steroid,227.0,,227.0,227.0,0.0
3-oxo-Delta(4) steroid,195.0,,195.0,195.0,0.0
3-oxo-fatty acyl-CoA,66.0,,66.0,66.0,0.0
3-oxo-fatty acyl-CoA(4-),36.0,,36.0,36.0,0.0
3-sn-phosphatidyl-L-serine,214.0,,214.0,214.0,0.0
3alpha-hydroxy steroid,225.0,,225.0,225.0,0.0
3beta-hydroxy steroid,215.0,,215.0,215.0,0.0
3beta-hydroxy-Delta(5)-steroid,223.0,,223.0,223.0,0.0
4'-hydroxyflavanones,123.0,,123.0,123.0,0.0
D-glucoside,218.0,,218.0,218.0,0.0
D-hexose,100.0,,100.0,100.0,0.0
L-alpha-amino acid,157.0,,157.0,157.0,0.0
N-acetyl-amino acid,152.0,,152.0,152.0,0.0
N-acyl-L-alpha-amino acid,236.0,,236.0,236.0,0.0
N-acylglycine,180.0,,180.0,180.0,0.0
N-acylphytosphingosine,98.0,,98.0,98.0,0.0
N-acylsphinganine,114.0,,114.0,114.0,0.0
N-acylsphingosine,194.0,,194.0,194.0,0.0
O-acyl-L-carnitine,53.0,,53.0,53.0,0.0
UDP-sugar,161.0,,161.0,161.0,0.0
acetate ester,184.0,,184.0,184.0,0.0
acyl-CoA,88.0,,88.0,88.0,0.0
aldehyde,108.0,,108.0,108.0,0.0
alditol,135.0,,135.0,135.0,0.0
aldopentose,25.0,,25.0,25.0,0.0
aldose,32.0,,32.0,32.0,0.0
aldoxime,49.0,,49.0,49.0,0.0
aliphatic alcohol,204.0,,204.0,204.0,0.0
alkaloid,201.0,,201.0,201.0,0.0
alkane,5.0,,5.0,5.0,0.0
alkene,57.0,,57.0,57.0,0.0
alpha-amino acid,111.0,,111.0,111.0,0.0
alpha-amino acid ester,143.0,,143.0,143.0,0.0
alpha-amino-acid zwitterion,138.0,,138.0,138.0,0.0
alpha-hydroxy ketone,189.0,,189.0,189.0,0.0
amine,228.0,,228.0,228.0,0.0
amino acid,131.0,,131.0,131.0,0.0
