,rank,rank,rank,rank,rank
,mean,std,min,max,range
chemical_class,,,,,
acyl-CoA(4-),4.0,,4.0,4.0,0.0
carboxylic acid anion,5.0,,5.0,5.0,0.0
fatty acyl-CoA(4-),9.0,,9.0,9.0,0.0
organosulfate oxoanion,13.0,,13.0,13.0,0.0
phosphatidate(2-),15.0,,15.0,15.0,0.0
"1,2-diacyl-sn-glycerol 3-phosphate(2-)",15.0,,15.0,15.0,0.0
thioester,18.0,,18.0,18.0,0.0
glycerophosphocholine,19.78,33.54,4.0,108.0,104.0
"nucleoside 3',5'-cyclic phosphate",21.0,,21.0,21.0,0.0
polychlorobiphenyl,22.7,11.59,10.0,48.0,38.0
N-acyl-15-methylhexadecasphing-4-enine-1-phosphocholine,23.0,,23.0,23.0,0.0
triglyceride,24.36,66.71,1.0,225.0,224.0
chalcogen,24.5,17.26,7.0,66.0,59.0
"2,3-trans-enoyl CoA(4-)",25.0,,25.0,25.0,0.0
trichlorobenzene,25.22,8.35,16.0,36.0,20.0
quaternary ammonium ion,25.5,14.31,6.0,46.0,40.0
aldopentose,26.5,30.35,5.0,108.0,103.0
phosphatidylcholine,27.0,68.27,2.0,221.0,219.0
organic disulfide,28.0,,28.0,28.0,0.0
monocarboxylic acid anion,28.64,19.66,11.0,75.0,64.0
"1,2-diacyl-sn-glycero-3-phosphoethanolamine",29.0,,29.0,29.0,0.0
cyanohydrin,29.3,43.69,7.0,152.0,145.0
aliphatic aldoxime,31.18,43.22,1.0,151.0,150.0
inositol phosphoceramide(1-),33.0,,33.0,33.0,0.0
(R)-3-hydroxyacyl-CoA(4-),34.0,,34.0,34.0,0.0
dipeptide zwitterion,35.0,,35.0,35.0,0.0
peroxides,36.0,,36.0,36.0,0.0
metal atom,36.1,67.45,4.0,221.0,217.0
peroxol,38.0,,38.0,38.0,0.0
lipid hydroperoxide,38.3,25.46,9.0,102.0,93.0
glycerophosphoglycerophosphoglycerol,39.0,,39.0,39.0,0.0
phosphatidyl-L-serine,39.22,77.97,3.0,246.0,243.0
phosphatidylethanolamine zwitterion,40.0,,40.0,40.0,0.0
"1,2-diacyl-sn-glycero-3-phosphoethanolamine zwitterion",40.0,,40.0,40.0,0.0
2-oxo monocarboxylic acid anion,40.45,28.55,11.0,108.0,97.0
1H-indole-3-carboxylate ester,42.0,,42.0,42.0,0.0
glucosinolic acid,42.0,,42.0,42.0,0.0
carotenoid,43.33,16.97,19.0,72.0,53.0
alkane,43.5,77.08,4.0,244.0,240.0
"3-oxo-Delta(1),Delta(4)-steroid",44.0,,44.0,44.0,0.0
very long-chain fatty acyl-CoA,45.11,36.22,6.0,108.0,102.0
organosulfonate oxoanion,46.0,,46.0,46.0,0.0
tertiary amine oxide,47.2,24.78,25.0,101.0,76.0
sphingomyelin,47.36,45.85,10.0,158.0,148.0
polychlorinated dibenzodioxines and related compounds,47.56,43.06,11.0,137.0,126.0
cation,48.2,20.0,16.0,79.0,63.0
phosphatidylethanolamine,48.5,69.07,6.0,221.0,215.0
tetrachlorobenzene,48.67,73.45,1.0,221.0,220.0
