,micro_total,micro_positives,micro_negatives,micro_actual_positives,micro_actual_negatives,micro_accuracy,micro_precision,micro_recall,micro_specificity,micro_f1,micro_false_positive_rate,micro_negative_predictive_value,micro_balanced_accuracy,macro_total,macro_positives,macro_negatives,macro_actual_positives,macro_actual_negatives,macro_accuracy,macro_precision,macro_recall,macro_specificity,macro_f1,macro_false_positive_rate,macro_negative_predictive_value,macro_balanced_accuracy,macro_num_rows,macro_max_f1,macro_max_precision,macro_max_recall,macro_max_accuracy,macro_max_num_f1_above_0_99,macro_max_num_f1_above_0_95,macro_max_num_f1_above_0_80,macro_pct_f1_above_0_99,macro_pct_f1_above_0_95,macro_pct_f1_above_0_80
DeepSeek-R1-undef,8538000.0,358326.0,8179674.0,23350.0,8514650.0,0.96,0.051,0.786,0.96,0.096,0.04,0.999,0.873,8538000.0,358326.0,8179674.0,23350.0,8514650.0,0.671,0.144,0.533,0.672,0.18,0.028,0.699,0.602,343.0,1.0,1.0,1.0,1.0,2.0,3.0,16.0,0.006,0.009,0.047
claude-3-sonnet-force,8146675.0,226856.0,7919819.0,17810.0,8128865.0,0.972,0.044,0.565,0.973,0.082,0.027,0.999,0.769,8146675.0,226856.0,7919819.0,17810.0,8128865.0,0.649,0.079,0.22,0.65,0.088,0.018,0.667,0.435,343.0,1.0,1.0,1.0,1.0,2.0,2.0,11.0,0.006,0.006,0.032
claude-3-sonnet-undef,9961000.0,189778.0,9771222.0,22789.0,9938211.0,0.981,0.056,0.466,0.982,0.1,0.018,0.999,0.724,9961000.0,189778.0,9771222.0,22789.0,9938211.0,0.801,0.181,0.351,0.802,0.201,0.015,0.815,0.576,343.0,1.0,1.0,1.0,1.0,3.0,8.0,31.0,0.009,0.023,0.09
ensemble-9,12131075.0,138813.0,11992262.0,30295.0,12100780.0,0.99,0.167,0.764,0.99,0.274,0.01,0.999,0.877,12131075.0,138813.0,11992262.0,30295.0,12100780.0,0.984,0.394,0.752,0.985,0.449,0.01,0.994,0.868,343.0,1.0,1.0,1.0,1.0,6.0,21.0,54.0,0.018,0.061,0.157
gemini-2.0-flash-exp-undef,11241700.0,335693.0,10906007.0,29225.0,11212475.0,0.97,0.049,0.568,0.972,0.091,0.028,0.999,0.77,11241700.0,335693.0,10906007.0,29225.0,11212475.0,0.894,0.136,0.474,0.895,0.17,0.026,0.92,0.685,343.0,1.0,1.0,1.0,1.0,2.0,5.0,13.0,0.006,0.015,0.038
gpt-4o-hi,11455150.0,340561.0,11114589.0,29780.0,11425370.0,0.971,0.051,0.585,0.972,0.094,0.028,0.999,0.778,11455150.0,340561.0,11114589.0,29780.0,11425370.0,0.911,0.156,0.527,0.912,0.186,0.027,0.938,0.72,343.0,1.0,1.0,1.0,1.0,2.0,3.0,13.0,0.006,0.009,0.038
gpt-4o-undef,11348425.0,361050.0,10987375.0,28639.0,11319786.0,0.969,0.049,0.621,0.97,0.091,0.03,0.999,0.795,11348425.0,361050.0,10987375.0,28639.0,11319786.0,0.901,0.137,0.511,0.902,0.168,0.028,0.929,0.706,343.0,1.0,1.0,1.0,1.0,1.0,3.0,10.0,0.003,0.009,0.029
o1-undef,11028250.0,210144.0,10818106.0,28553.0,10999697.0,0.982,0.089,0.655,0.983,0.157,0.017,0.999,0.819,11028250.0,210144.0,10818106.0,28553.0,10999697.0,0.887,0.178,0.493,0.888,0.213,0.016,0.903,0.691,343.0,1.0,1.0,1.0,1.0,1.0,5.0,19.0,0.003,0.015,0.055
o3-mini-hi,12059925.0,261298.0,11798627.0,30147.0,12029778.0,0.98,0.09,0.78,0.98,0.161,0.02,0.999,0.88,12059925.0,261298.0,11798627.0,30147.0,12029778.0,0.968,0.292,0.776,0.969,0.353,0.02,0.988,0.873,343.0,1.0,1.0,1.0,1.0,4.0,7.0,33.0,0.012,0.02,0.096
o3-mini-undef,12059925.0,313761.0,11746164.0,30283.0,12029642.0,0.975,0.074,0.768,0.976,0.135,0.024,0.999,0.872,12059925.0,313761.0,11746164.0,30283.0,12029642.0,0.964,0.243,0.77,0.964,0.306,0.024,0.988,0.867,343.0,1.0,1.0,1.0,1.0,3.0,5.0,27.0,0.009,0.015,0.079
smartifier,12166650.0,797636.0,11369014.0,26855.0,12139795.0,0.934,0.016,0.463,0.935,0.03,0.065,0.999,0.699,12166650.0,797636.0,11369014.0,26855.0,12139795.0,0.934,0.137,0.28,0.935,0.119,0.065,0.998,0.608,342.0,0.89,1.0,0.973,0.999,0.0,0.0,4.0,0.0,0.0,0.012
