chemical_class,f1
glucosylceramide,0.2222222222222222
3-hydroxy fatty acid,0.21686746987951808
catecholamine,0.21621621621621626
nucleotide,0.21607378129117258
3-oxo-Delta(4) steroid,0.21532091097308487
phospho sugar,0.21435793731041455
secondary alpha-hydroxy ketone,0.21243523316062177
prostaglandin,0.21212121212121213
methyl sulfide,0.21138211382113822
enone,0.2101167315175097
catechols,0.20770519262981577
monoamine,0.20689655172413793
2-enoyl-CoA,0.2068965517241379
fatty alcohol,0.2035541195476575
isoflavones,0.2011173184357542
fatty amide,0.20048899755501223
alpha-hydroxy ketone,0.19919517102615691
rotenoid,0.1978021978021978
7-hydroxyisoflavones,0.1964285714285714
secondary alcohol,0.1952404079650316
iridoid monoterpenoid,0.1951219512195122
alkaloid,0.19413092550790068
mineral,0.1846153846153846
tetrasaccharide,0.18404907975460122
tetrahydrofuranone,0.183206106870229
polyprenol,0.18181818181818182
aliphatic alcohol,0.1776504297994269
1-acyl-sn-glycero-3-phosphoserine,0.16091954022988506
phenylpropanoid,0.1599229287090559
saccharolipid,0.15068493150684928
polyphenol,0.14253135689851767
diketone,0.14049586776859505
17beta-hydroxy steroid,0.1371841155234657
trans-2-enoyl-CoA,0.13559322033898305
biflavonoid,0.13084112149532712
3beta-hydroxy steroid,0.12825278810408922
1-acyl-sn-glycero-3-phosphoethanolamine,0.125
indole alkaloid,0.12158054711246201
beta-D-glucosiduronic acid,0.11764705882352941
short-chain fatty acyl-CoA,0.1142857142857143
cyclic fatty acid,0.11363636363636365
carboxamidine,0.11009174311926605
aromatic amino acid,0.10843373493975904
"2,5-diketopiperazines",0.10833333333333334
3-sn-phosphatidyl-L-serine,0.10526315789473684
secondary ammonium ion,0.09836065573770492
1-phosphatidyl-1D-myo-inositol,0.09523809523809523
D-glucoside,0.0951993490642799
endocannabinoid,0.09345794392523366
aromatic primary alcohol,0.08835341365461848
3beta-hydroxy-Delta(5)-steroid,0.08582089552238806
methyl-branched fatty acid,0.0821917808219178
nonclassic icosanoid,0.08
lipopeptide,0.07547169811320754
volatile organic compound,0.07390300230946883
beta-D-glucoside,0.07168831168831169
sterol,0.07155322862129145
anilide,0.07075962539021852
3alpha-hydroxy steroid,0.06557377049180327
guaiacols,0.06402439024390244
amine,0.05924259467566555
branched-chain fatty acid,0.05563282336578581
proteinogenic amino acid,0.053763440860215055
diterpenoid,0.05345065335872349
diol,0.04793674326661725
sesterterpenoid,0.04413472706155633
icosanoid,0.04283246977547496
lipopolysaccharide,0.04081632653061224
3-oxo-Delta(1) steroid,0.040540540540540536
11-oxo steroid,0.0400728597449909
polar amino acid,0.03932584269662922
3-oxo-5alpha-steroid,0.0384
cucurbitacin,0.0380952380952381
tripeptide,0.03630862329803328
N-acyl-L-alpha-amino acid,0.03389830508474576
bile acid conjugate,0.03179487179487179
11beta-hydroxy steroid,0.028985507246376812
peptide antibiotic,0.02777777777777778
tertiary amine,0.0275
primary amine,0.025806451612903226
nucleobase analogue,0.023809523809523808
lactol,0.020493358633776087
mucopolysaccharide,0.018995929443690635
16beta-hydroxy steroid,0.018867924528301886
glycosaminoglycan,0.018306636155606407
aralkylamine,0.014436958614051972
dihydroagarofuran sesquiterpenoid,0.012345679012345678
cannabinoid,0.010050251256281407
secondary amine,0.0081799591002045
3-oxo-5beta-steroid,0.008113590263691682
beta-D-galactoside,0.005271084337349398
bioconjugate,0.005235602094240838
acrovestone,0.003883495145631068
semisynthetic derivative,0.000562271577171774
phytosterols,0.0
gas molecular entity,0.0
polymer,0.0
hemiaminal,0.0
penicillin,
tannin,
