chemical_class,f1
cardiolipin,1.0
tetrachlorobenzene,1.0
aliphatic aldoxime,1.0
myo-inositol phosphate,1.0
polonium atom,1.0
triglyceride,0.9967320261437909
metal atom,0.9850746268656716
triradylglycerol,0.9822294022617125
glycerophosphoinositol,0.9821428571428571
polyprenol phosphate,0.9767441860465117
wax ester,0.975609756097561
phosphatidylinositol,0.970059880239521
aldopentose,0.967741935483871
phosphatidylcholine,0.9668874172185431
very long-chain fatty acyl-CoA,0.9642857142857143
glycerophosphocholine,0.9632829373650108
phosphatidylglycerol,0.9629629629629629
"1,2-diacyl-sn-glycero-3-phosphocholine",0.9627118644067796
phosphatidic acid,0.9533678756476685
CDP-diacylglycerol,0.9523809523809523
chalcogen,0.9523809523809523
cholesteryl ester,0.9473684210526316
phosphatidyl-L-serine,0.9457364341085271
diglyceride,0.9453551912568305
alkane,0.9354838709677419
chlorophyll,0.923076923076923
cyanohydrin,0.923076923076923
phosphatidylethanolamine,0.9212410501193318
glycerophospholipid,0.9173086800205444
1-monoglyceride,0.9090909090909091
2-acyl-1-alkyl-sn-glycero-3-phosphocholine,0.9090909090909091
lipid hydroperoxide,0.896551724137931
polychlorobiphenyl,0.888888888888889
polychlorinated dibenzodioxines and related compounds,0.8799999999999999
trichlorobenzene,0.8750000000000001
carbapenems,0.875
para-terphenyl,0.8648648648648649
diradylglycerol,0.8630490956072352
aldose,0.8593750000000001
fatty aldehyde,0.8571428571428572
tocol,0.8571428571428571
inositol phosphoceramide,0.8571428571428571
unsaturated fatty acyl-CoA,0.85
monoacylglycerol,0.84
aldoxime,0.8387096774193549
quaternary ammonium ion,0.8368200836820083
2-oxo monocarboxylic acid anion,0.8333333333333333
wax,0.8235294117647058
monoacyl-sn-glycerol 3-phosphate,0.8181818181818181
monocarboxylic acid anion,0.8130563798219583
sphingomyelin,0.8125000000000001
O-acyl-L-carnitine,0.8108108108108109
monoradylglycerol,0.8076923076923077
beta-lactam,0.8044692737430167
hopanoid,0.7878787878787877
macrolide,0.782608695652174
2-hydroxy fatty acid,0.7826086956521738
nucleoside,0.7821782178217822
anthocyanidin cation,0.7816091954022989
sulfolipid,0.7777777777777778
alkanethiol,0.7777777777777778
epoxy fatty acid,0.7777777777777777
mononitrophenol,0.7777777777777777
2-monoglyceride,0.7777777777777777
branched-chain fatty acyl-CoA,0.7741935483870968
3-hydroxy fatty acyl-CoA(4-),0.7727272727272727
glucosinolate,0.7692307692307693
beta-lactam antibiotic,0.7657142857142858
N-hydroxy-alpha-amino-acid,0.761904761904762
long-chain fatty acid,0.7596153846153845
omega-hydroxy fatty acid,0.7567567567567568
carotenoid,0.7559055118110236
3-oxo-fatty acyl-CoA(4-),0.7499999999999999
tetraterpenoid,0.7457627118644068
thiosugar,0.7450980392156863
chalcones,0.7419354838709677
vitamin D,0.7407407407407408
quinic acid,0.7407407407407407
cation,0.7382456140350876
polysaccharide,0.7329842931937173
hexose,0.7307692307692308
fatty acid,0.7274021352313168
phosphatidylinositol phosphate,0.7272727272727273
fatty acid anion,0.7212389380530974
cephalosporin,0.7123287671232876
flavanones,0.706422018348624
steroid,0.7058823529411764
straight-chain saturated fatty acid,0.7000000000000001
limonoid,0.7000000000000001
galactosylceramide,0.7000000000000001
pyrimidine deoxyribonucleoside,0.7000000000000001
polyunsaturated fatty acid,0.6970509383378017
lysophosphatidic acids,0.6896551724137931
3-oxo-fatty acyl-CoA,0.6808510638297872
2-oxo monocarboxylic acid,0.6774193548387099
nucleoside phosphate,0.6680327868852458
N-sulfonylurea,0.6666666666666667
sphingomyelin d18:1,0.6666666666666666
2-hydroxydicarboxylic acid,0.6666666666666666
germacranolide,0.6551724137931034
