chemical_class,f1,false_positives,false_negatives
cardiolipin,1.0,[],
tetrachlorobenzene,1.0,[],
aliphatic aldoxime,1.0,[],
myo-inositol phosphate,1.0,[],
polonium atom,1.0,[],
triglyceride,0.9967320261437909,"[{'smiles': 'O(C(COC(=O)C1=CC=CC=C1)COC(=O)C2=CC=CC=C2)C(=O)C3=CC=CC=C3', 'name': 'Glycerol tribenzoate', 'reason': 'Contains a glycerol backbone fully esterified with three fatty acid chains'}, {'smiles': 'C(OC(CCCCC)=O)[C@H](COC(CCCCCCC/C=C\\CCCCCCCC)=O)OC(CCCCC)=O', 'name': '1,2-dihexanoyl-3-oleoyl-sn-glycerol', 'reason': 'Contains a glycerol backbone fully esterified with three fatty acid chains'}]",
metal atom,0.9850746268656716,"[{'smiles': '[67Zn]', 'name': 'zinc-67', 'reason': 'Single atom of metal element Zn'}]",
triradylglycerol,0.9822294022617125,"[{'smiles': 'O([C@H](CCCCCCCCCCCCCCC)CCC[C@@H](OC(=O)C)CC(O)=O)C(=O)C', 'name': 'Byrsonic acid', 'reason': 'Contains glycerol backbone with 3 substituent groups attached via ester bonds'}, {'smiles': 'O(CC(CCCC)CC)C(=O)C1=C(C(OCC(CCCC)CC)=O)C=CC(C(OCC(CCCC)CC)=O)=C1', 'name': 'Tri-2-ethylhexyl trimellitate', 'reason': 'Contains glycerol backbone with 3 substituent groups attached via ester bonds'}, {'smiles': 'C(OC(CCCCC)=O)[C@H](COC(CCCCCCC/C=C\\CCCCCCCC)=O)OC(CCCCC)=O', 'name': '1,2-dihexanoyl-3-oleoyl-sn-glycerol', 'reason': 'Contains glycerol backbone with 3 substituent groups attached via ester bonds'}, {'smiles': 'O=C(O)/C(=C\\C(=C\\[C@@H](C[C@H](C[C@H](C[C@@H](COC(=O)C)CC)C)C)C)\\C)/C=C/C=C/C(=O)O', 'name': 'Fiscpropionate C', 'reason': 'Contains glycerol backbone with 3 substituent groups attached via ester bonds'}]",
glycerophosphoinositol,0.9821428571428571,"[{'smiles': 'S(C[C@H](N)C(O[C@@H](COP(OC1[C@H](O)[C@H](O)C(O)[C@H](O)[C@H]1O)(O)=O)COC(=O)CCCCCCCCCCCCCCC)=O)[C@@H]([C@@H](O)CCCC(O)=O)/C=C/C=C/C=C\\C/C=C\\CCCCC', 'name': 'PI(16:0/LTE4)', 'reason': 'Contains glycerol backbone with inositol esterified to phosphate and fatty acid chains'}, {'smiles': 'P(OC1C(O)C(O)C(O)[C@@H](O)C1O)(OC[C@H](OC(=O)CCCCCCC/C=C\\C/C=C\\CCCCC)COCCCCCCCCCCCCCCCC)(O)=O', 'name': 'lmgp06020080', 'reason': 'Contains glycerol backbone with inositol esterified to phosphate and fatty acid chains'}]",
polyprenol phosphate,0.9767441860465117,[],
wax ester,0.975609756097561,[],
phosphatidylinositol,0.970059880239521,"[{'smiles': 'P(O[C@@H]1C(O)[C@H](OP(O)(O)=O)C(O)C(O)C1O)(OC[C@H](OC(=O)CCC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCCC)COC(=O)CCCCCCCCCCCCCCC)(O)=O', 'name': 'PIP(16:0/20:4(5Z,8Z,11Z,14Z))', 'reason': 'Contains glycerol backbone with 2 fatty acid chains and a phosphoinositol group'}, {'smiles': 'P(O[C@H]1C(O)C(OP(O)(O)=O)C(O)[C@@H](O)C1O)(OC[C@H](OC(=O)CCC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCCC)COC(=O)CCCCCCCCCCCCCCCC)(O)=O', 'name': ""PIP[5'](17:0/20:4(5Z,8Z,11Z,14Z))"", 'reason': 'Contains glycerol backbone with 2 fatty acid chains and a phosphoinositol group'}, {'smiles': '[C@H]1([C@H]([C@@H]([C@H]([C@@H]([C@@H]1O)OP(OC[C@H](COC(CCCCCCC)=O)OC(CCCCCCC)=O)(=O)O)O)OP(=O)(O)O)OP(O)(=O)O)O', 'name': '1-O-(1-O,2-O-dioctanoyl-sn-glycero-3-phosphono)-1D-myo-inositol 4,5-bis(phosphate)', 'reason': 'Contains glycerol backbone with 2 fatty acid chains and a phosphoinositol group'}]",
